family_id,province,core_region,weighted_degree,unweighted_degree,betweenness,eigenvector,literary_clue_count,confirmed_female_writer_count,LCP_main_0604
张氏（安徽桐城）,安徽,安徽,309,57,0.04160513229308409,0.9841886928019608,9,9,0.7494747940705687
姚氏（安徽桐城）,安徽,安徽,307,48,0.07268228697937931,1,9,9,0.7494747940705687
陈氏（浙江海宁）,浙江,浙江,246,126,0.2812496797852322,0.00217451304195649,21,20,1
方氏（安徽桐城）,安徽,安徽,194,66,0.15321959374336408,0.4766881158984465,10,10,0.7804975682555573
庄氏（江苏武进）,江苏,江苏,169,72,0.1566226392795853,0.01578100440815004,2,2,0.35759035412771034
任氏（江苏宜兴）,江苏,江苏,114,44,0.05172720243309628,6.210292185395716e-4,4,4,0.5238604000612421
孔氏（山东曲阜）,山东,Other,109,54,0.2318450898461516,0.02233615813180649,0,0,0
许氏（浙江钱塘）,浙江,浙江,100,59,0.05598956433357065,0.00249150792870754,4,3,0.4945430202910252
潘氏（江苏吴县）,江苏,江苏,89,39,0.0487007655410064,0.00272760928019367,0,0,0
汪氏（浙江钱塘）,浙江,浙江,88,44,0.07108474569154401,9.25667534335615e-5,12,12,0.8348724645764454
查氏（浙江海宁）,浙江,浙江,81,36,0.08089706570541669,0.00271736923734564,6,6,0.6333796795091262
储氏（江苏宜兴）,江苏,江苏,62,30,0.05162858313071375,2.080170300339165e-4,2,2,0.35759035412771034
吕氏（江苏阳湖）,江苏,江苏,62,30,0.02145083927271824,0.00301595207406963,4,4,0.5238604000612421
彭氏（江苏长洲）,江苏,江苏,59,33,0.06508654884380187,8.188731585042969e-4,2,2,0.35759035412771034
吴氏（浙江钱塘）,浙江,浙江,56,37,0.03645519927917722,9.539956883823148e-5,4,4,0.5238604000612421
陈氏（江西新城）,江西,Other,56,35,0.02631757952961223,0.00523709642126255,0,0,0
钱氏（浙江秀水）,浙江,浙江,52,33,0.02153917388638905,2.9199557659207267e-4,10,10,0.7804975682555573
赵氏（江苏阳湖）,江苏,江苏,49,22,0.04934429208839335,0.00108542768132802,2,2,0.35759035412771034
朱氏（浙江海盐）,浙江,浙江,48,26,0.02690664169340299,8.160195246573699e-4,3,3,0.45122878801865285
顾氏（江苏长洲）,江苏,江苏,47,25,0.01976471300222111,0.00504271367601827,1,1,0.22561439400932642
