dependent_variable,model,term,estimate,std_error,statistic,p_value,n,r_squared,adj_r_squared,n_province_clusters,se_type
LCP_main_0604,Model_1_weighted_degree,(Intercept),0.1592676520618025,0.0053500987963927445,29.769104856378963,0.001469858468815782,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,z_weighted_degree,0.03869906514223037,0.00935537640723675,4.136558857460308,0.05846804490426096,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,core_region浙江,0.03385014197448574,7.930642590724763e-4,42.68272285284295,7.40863894449328e-4,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,core_region安徽,-0.0584550314978174,0.011096285890442127,-5.267981744068806,0.037945659646961526,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_1_weighted_degree,core_regionOther,-0.060381416733450266,0.025633362157739894,-2.355579278359251,0.04588920487022308,655,0.1519346503476526,0.1467157866574843,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,(Intercept),0.14066847850188788,0.01082795710076195,12.991229757641838,0.006167153113103228,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,z_weighted_degree,0.08540931660896525,0.022990137824968008,3.715041521682748,0.038860047904087786,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,z_betweenness,-0.026817125223267235,0.010096796358114583,-2.6560033769240947,0.07558789681126094,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,z_eigenvector,-0.032840666093262534,0.019261977058772344,-1.7049478354718601,0.19017863202680468,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,core_region浙江,0.033322459688943665,0.0010989845374420049,30.32113606120882,0.0013431619188951605,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,core_region安徽,-0.029179373145807125,0.02574579864101563,-1.133364458903266,0.42112652024281827,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_2_centrality,core_regionOther,-0.04864626151502029,0.025238048033518867,-1.9274969859163742,0.08844864240960096,655,0.17368927705192241,0.1660382518394401,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,(Intercept),0.12198900802134317,0.016042039672519003,7.604332772616054,0.004002682604154872,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_unweighted_degree,0.08250417597875742,0.0074205037443007,11.118406353763321,0.0011119489437473927,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_betweenness,-0.039300229042862886,0.007845446480063627,-5.009304332485123,0.014173852023102325,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_eigenvector,0.0029625222684212453,0.009181466878852452,0.3226632854543954,0.790740109698985,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,z_record_exposure,0.004465318764548105,0.011830386823931074,0.377444865582539,0.7283343883349076,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,core_region浙江,0.02169263583599593,8.375445991927615e-4,25.9002754682003,8.338379731337829e-4,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,core_region安徽,-0.023573860411115352,0.021339566799168975,-1.1047019198174814,0.4336704326537407,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_3_exposure_adjusted,core_regionOther,-0.047636159742911674,0.025103559557845167,-1.8975858635961766,0.09326997270521367,655,0.2276534214504787,0.21929727608750083,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,(Intercept),0.1263392477274604,0.005451047360753432,23.177059263340922,0.0013247753639469807,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,z_unweighted_degree,0.0856301523899738,0.009661103731967472,8.863392296123843,0.00385664327522573,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,z_betweenness,-0.0403371898047613,0.008399393704931722,-4.80239303237771,0.01683013649939383,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,z_eigenvector,0.003005283248762629,0.008879297441336328,0.3384595761790739,0.7813330383987036,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,core_region浙江,0.02123664558669383,0.0015035763613624683,14.124088494880437,0.005952160471843755,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,core_region安徽,-0.023799378163049383,0.020658603610298993,-1.15203227730187,0.4205416759984954,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
LCP_main_0604,Model_4_unweighted_degree,core_regionOther,-0.0480119241925085,0.02478732609828951,-1.9369545550063039,0.0878245766863019,655,0.2274984458952192,0.2203456537275823,18,province-clustered robust SE
