row_id,cooks_distance,lcp_main_0604,z_unweighted_degree,z_betweenness,z_eigenvector,z_record_exposure,core_region
1,0.22877057382571847,0.7494747940705687,10.753346432934691,4.331166196870684,34.252994232366845,6.505874878298549,Anhui
8,0.0740203878981564,0.4945430202910252,11.14882878205885,5.877491686476049,0.04038764149548249,4.926280942263832,Zhejiang
16,0.04822688933682771,0,6.4030405925689635,2.6877552894877983,0.13607268613410584,4.120506559161151,Other
4,0.04173537546390115,0.7804975682555573,12.5330170039934,16.329713394519047,16.566361480657456,5.852920645272763,Anhui
5,0.03952808712384404,0.35759035412771034,13.71946405136587,16.695540563790352,0.5035328168589408,5.659669305088898,Jiangsu
2,0.03593048068104243,0.7494747940705687,8.973675861875984,7.671958262943918,34.80402569215836,6.496758173647944,Anhui
9,0.03409792617934885,0,7.194005290817278,5.093946300059411,0.04861588415364078,4.7638626224996194,Jiangsu
45,0.02962112986197835,0.6768431820279793,0.8662877048307629,-0.00929491323978287,3.046147282131083,3.014877451711542,Anhui
491,0.01748290968406427,0.5238604000612421,-0.12241816797963004,-0.1385567249103415,-0.04644156960108124,0.6926989929214846,Anhui
30,0.01254438952891287,0.7804975682555573,3.436922974137784,2.572830715578707,-0.04307398498650763,3.3927342385993446,Other
535,0.01216511463324838,0.4512287880186529,0.07532300658244853,0.05667541697058433,-0.04470552086242873,0.37839551005512984,Anhui
10,0.01098845312554288,0.8348724645764454,8.18271116362767,7.500222680536234,-0.04321658181181749,4.748124738646734,Zhejiang
11,0.01009481019186957,0.6333796795091262,6.600781767131042,8.55504643074827,0.04825901386529565,4.632742345804056,Zhejiang
35,0.00966328292772735,0.8088191421463632,3.436922974137784,0.9540112472171208,-0.03535090168524529,3.2626240199973964,Jiangsu
80,0.00955318785202358,0.6768431820279793,1.26177005395492,0.807584851192112,-0.04624516151538672,2.4969275560100663,Other
230,0.00792923594516509,0.7151807082554207,0.6685465302686843,0.11007576458397413,-0.04644242694894131,1.6690147847330845,Other
185,0.00773315351227634,0.4512287880186529,0.8662877048307629,0.15001738543104504,-0.04407256021263315,1.8032616463998867,Anhui
229,0.00736651983390053,0.7151807082554207,1.0640288793928414,0.19079938818587627,-0.04644053999589093,1.6690147847330845,Other
7,0.00704895785476321,0,10.160122909248456,24.781949006909283,0.7319829937015067,5.046512504701039,Other
111,0.00702025677300088,0.6768431820279793,1.4595112285169989,0.6862294048438026,-0.04462344597634239,2.2401229118047525,Other
39,0.00649757824356194,0,3.041440625013627,0.8215161730440618,-0.04629767536517914,3.168687488295608,Zhejiang
17,0.00633365100405342,0.7804975682555573,6.007558243444806,2.1740770000014247,-0.03626639393847291,4.018023120462657,Zhejiang
62,0.00544493112510371,0.7151807082554207,1.854993577641156,0.5781982054658443,-0.04615672718769587,2.779577438211486,Jiangsu
483,0.00514237815768485,0.35759035412771034,0.27306418114452713,-0.13888054179223086,-0.04601965592785279,0.6926989929214846,Anhui
110,0.0042434420078077,0.6768431820279793,1.4595112285169989,0.41263161501909584,-0.04518576988147996,2.2401229118047525,Zhejiang
91,0.00408276495931451,0.6768431820279793,2.250475926765313,0.46663985523348744,-0.04544895139531312,2.4164184467877456,Jiangsu
36,0.0039816331539792,0,0.27306418114452713,-0.07532411924685681,4.169565034447615,3.2626240199973964,Anhui
167,0.00397079457495445,0.6768431820279793,1.26177005395492,0.21739162303194096,-0.04557225612091133,1.925819428938398,Zhejiang
242,0.00393074436347459,0.35759035412771034,0.6685465302686843,0.16790651589957786,0.12779936117799562,1.5206117641984678,Anhui
68,0.00379107986969651,0.6333796795091262,1.854993577641156,1.3376606575101218,-0.03967435196000943,2.645330576544683,Jiangsu
